owner_org,ati_all,ati_all_change_30-days,ati_all_change_90-days,ati_all_change_6-months,ati_nil,ati_nil_change_30-days,ati_nil_change_90-days,ati_nil_change_6-months,briefingt,briefingt_change_30-days,briefingt_change_90-days,briefingt_change_6-months,contracts,contracts_change_30-days,contracts_change_90-days,contracts_change_6-months,contracts_nil,contracts_nil_change_30-days,contracts_nil_change_90-days,contracts_nil_change_6-months,contractsa,contractsa_change_30-days,contractsa_change_90-days,contractsa_change_6-months,dac,dac_change_30-days,dac_change_90-days,dac_change_6-months,grants,grants_change_30-days,grants_change_90-days,grants_change_6-months,grants_nil,grants_nil_change_30-days,grants_nil_change_90-days,grants_nil_change_6-months,hospitalityq,hospitalityq_change_30-days,hospitalityq_change_90-days,hospitalityq_change_6-months,hospitalityq_nil,hospitalityq_nil_change_30-days,hospitalityq_nil_change_90-days,hospitalityq_nil_change_6-months,parliament_committee,parliament_committee_change_30-days,parliament_committee_change_90-days,parliament_committee_change_6-months,parliament_committee_deputy,parliament_committee_deputy_change_30-days,parliament_committee_deputy_change_90-days,parliament_committee_deputy_change_6-months,parliament_report,parliament_report_change_30-days,parliament_report_change_90-days,parliament_report_change_6-months,qpnotes,qpnotes_change_30-days,qpnotes_change_90-days,qpnotes_change_6-months,qpnotes_nil,qpnotes_nil_change_30-days,qpnotes_nil_change_90-days,qpnotes_nil_change_6-months,reclassification,reclassification_change_30-days,reclassification_change_90-days,reclassification_change_6-months,reclassification_nil,reclassification_nil_change_30-days,reclassification_nil_change_90-days,reclassification_nil_change_6-months,transition,transition_change_30-days,transition_change_90-days,transition_change_6-months,transition_deputy,transition_deputy_change_30-days,transition_deputy_change_90-days,transition_deputy_change_6-months,travela,travela_change_30-days,travela_change_90-days,travela_change_6-months,travelq,travelq_change_30-days,travelq_change_90-days,travelq_change_6-months,travelq_nil,travelq_nil_change_30-days,travelq_nil_change_90-days,travelq_nil_change_6-months,wrongdoing,wrongdoing_change_30-days,wrongdoing_change_90-days,wrongdoing_change_6-months,Total Original,Total Change 30-days,Total Change 90-days,Total Change 6-months
exi,0,0.0,0.0,0.0,29,0.0,2.0,6.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,29,0.0,2.0,6.0
fbcl-spfl,20,0.0,0.0,-2.0,59,1.0,2.0,4.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,0.0,0.0,2.0,7,0.0,0.0,7.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,9,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0.0,2.0,2.0,148,6.0,35.0,55.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,248,7.0,39.0,68.0
fcac-acfc,90,0.0,0.0,2.0,38,0.0,2.0,5.0,103,0.0,1.0,2.0,1512,25.0,56.0,58.0,0,0.0,0.0,0.0,8,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,195,1.0,2.0,4.0,47,0.0,1.0,2.0,0,0.0,0.0,0.0,6,0.0,0.0,0.0,20,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,1.0,11,0.0,1.0,1.0,593,6.0,10.0,24.0,35,0.0,0.0,0.0,0,0.0,0.0,0.0,2659,32.0,74.0,100.0
fcc-fac,7,0.0,0.0,0.0,18,0.0,0.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,403,21.0,51.0,93.0,24,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,9,1.0,1.0,1.0,1917,102.0,227.0,427.0,15,0.0,0.0,0.0,0,0.0,0.0,0.0,2393,124.0,279.0,524.0
feddevontario,260,0.0,2.0,6.0,11,0.0,1.0,1.0,653,0.0,8.0,32.0,1001,0.0,0.0,3.0,0,0.0,0.0,0.0,8,0.0,0.0,1.0,0,0.0,0.0,0.0,4708,0.0,0.0,105.0,0,0.0,0.0,0.0,154,0.0,0.0,1.0,48,1.0,3.0,5.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,16,-6.0,-6.0,-6.0,0,0.0,0.0,,24,0.0,0.0,2.0,45,0.0,0.0,0.0,5,1.0,1.0,2.0,1,0.0,0.0,0.0,9,0.0,0.0,0.0,1942,2.0,6.0,51.0,21,0.0,0.0,0.0,0,0.0,0.0,0.0,8909,-2.0,15.0,203.0
fednor,5,1.0,2.0,2.0,30,1.0,1.0,4.0,278,5.0,12.0,37.0,33,1.0,1.0,2.0,0,0.0,0.0,0.0,3,0.0,1.0,2.0,0,0.0,0.0,0.0,1147,0.0,0.0,110.0,0,0.0,0.0,0.0,8,0.0,0.0,0.0,30,1.0,3.0,5.0,0,0.0,0.0,0.0,2,0.0,0.0,0.0,14,0.0,13.0,13.0,9,3.0,3.0,3.0,0,0.0,0.0,,1,0.0,0.0,0.0,1,0.0,1.0,1.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,3,0.0,0.0,0.0,55,0.0,1.0,15.0,9,1.0,2.0,4.0,0,0.0,0.0,0.0,1629,13.0,40.0,198.0
ffmc-ocped,6,4.0,4.0,6.0,20,0.0,0.0,2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,26,4.0,4.0,8.0
fin,6567,0.0,101.0,173.0,2,0.0,0.0,0.0,4451,71.0,169.0,369.0,4297,24.0,83.0,82.0,0,0.0,0.0,0.0,8,0.0,1.0,1.0,82,3.0,3.0,6.0,189,0.0,0.0,16.0,1,0.0,0.0,0.0,712,0.0,1.0,8.0,24,0.0,1.0,2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,20,2.0,2.0,2.0,0,0.0,0.0,,7,0.0,0.0,0.0,14,0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,9,0.0,1.0,1.0,7380,0.0,29.0,117.0,5,0.0,0.0,0.0,0,0.0,0.0,0.0,23770,100.0,391.0,777.0
fintrac-canafe,234,5.0,7.0,10.0,12,0.0,0.0,1.0,157,6.0,9.0,18.0,1695,19.0,68.0,68.0,0,0.0,0.0,0.0,7,0.0,0.0,5.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,780,0.0,1.0,6.0,32,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0.0,0.0,1.0,7,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,638,0.0,11.0,17.0,24,0.0,0.0,0.0,0,0.0,0.0,0.0,3589,30.0,96.0,126.0
fja-cmf,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,781,12.0,40.0,40.0,2,1.0,2.0,2.0,8,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,67,1.0,2.0,2.0,33,0.0,3.0,5.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,11,0.0,0.0,0.0,22,1.0,1.0,2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.0,0.0,0.0,77,2.0,2.0,3.0,34,0.0,3.0,4.0,0,0.0,0.0,0.0,1042,17.0,54.0,59.0
