date,pd_type,pd_count
2023-12-22,grants,949369
2023-12-22,parliament_committee_deputy,231
2023-12-22,contracts_nil,74
2023-12-22,ati_nil,3050
2023-12-22,hospitalityq,22740
2023-12-22,dac,2882
2023-12-22,parliament_committee,267
2023-12-22,contractsa,397
2023-12-22,hospitalityq_nil,3235
2023-12-22,contracts,1037025
2023-12-21,ati_nil,3047
2023-12-21,contracts_nil,74
2023-12-21,ati_all,167516
2023-12-21,parliament_committee_deputy,230
2023-12-21,transition_deputy,46
2023-12-21,hospitalityq,22698
2023-12-21,travelq,92525
2023-12-21,grants,949369
2023-12-21,grants_nil,167
2023-12-21,reclassification_nil,839
2023-12-21,wrongdoing,47
2023-12-21,travela,488
2023-12-21,contracts,1037021
2023-12-21,dac,2882
2023-12-21,adminaircraft,20
2023-12-21,reclassification,11112
2023-12-21,contractsa,397
2023-12-21,transition,69
2023-12-21,qpnotes,4751
2023-12-21,hospitalityq_nil,3232
2023-12-21,travelq_nil,1967
2023-12-21,parliament_report,369
2023-12-21,briefingt,101425
2023-12-21,parliament_committee,267
2023-12-20,adminaircraft,20
2023-12-20,contracts_nil,74
2023-12-20,travelq_nil,1965
2023-12-20,transition_deputy,46
2023-12-20,grants_nil,167
2023-12-20,parliament_committee,267
2023-12-20,transition,69
2023-12-20,travelq,92427
2023-12-20,ati_nil,3040
2023-12-20,parliament_committee_deputy,230
2023-12-20,hospitalityq_nil,3227
2023-12-20,reclassification_nil,839
2023-12-20,ati_all,167493
2023-12-20,reclassification,11111
2023-12-20,wrongdoing,47
2023-12-20,grants,949375
2023-12-20,contracts,1037000
2023-12-20,qpnotes,4751
2023-12-20,dac,2882
2023-12-20,hospitalityq,22687
2023-12-20,travela,483
2023-12-20,contractsa,397
2023-12-20,briefingt,101214
2023-12-20,parliament_report,369
2023-12-19,travelq_nil,1964
2023-12-19,parliament_committee,267
2023-12-19,qpnotes,4751
2023-12-19,contracts_nil,74
2023-12-19,reclassification,11111
2023-12-19,parliament_report,369
2023-12-19,briefingt,101196
2023-12-19,contractsa,397
2023-12-19,wrongdoing,47
2023-12-19,grants_nil,167
2023-12-19,transition,69
2023-12-19,travelq,92392
2023-12-19,ati_all,167490
2023-12-19,grants,949375
2023-12-19,hospitalityq_nil,3226
2023-12-19,hospitalityq,22679
2023-12-19,transition_deputy,46
2023-12-19,travela,483
2023-12-19,dac,2882
2023-12-19,reclassification_nil,838
2023-12-19,contracts,1037000
2023-12-19,ati_nil,3037
2023-12-19,parliament_committee_deputy,230
2023-12-19,adminaircraft,20
2023-12-18,parliament_committee_deputy,230
2023-12-18,reclassification,11085
2023-12-18,ati_all,167419
2023-12-18,dac,2882
2023-12-18,parliament_committee,267
2023-12-18,transition,69
2023-12-18,qpnotes,4751
2023-12-18,travelq_nil,1964
2023-12-18,briefingt,101194
2023-12-18,parliament_report,369
2023-12-18,transition_deputy,46
2023-12-18,adminaircraft,20
2023-12-18,grants,949375
2023-12-18,contracts,1036970
2023-12-18,ati_nil,3033
2023-12-18,travela,483
2023-12-18,travelq,92345
2023-12-18,contractsa,397
2023-12-18,hospitalityq,22677
2023-12-18,grants_nil,167
2023-12-18,wrongdoing,47
2023-12-18,contracts_nil,74
2023-12-18,reclassification_nil,838
2023-12-18,hospitalityq_nil,3224
2023-12-17,transition_deputy,46
2023-12-17,briefingt,101194
2023-12-17,grants_nil,167
2023-12-17,travela,483
2023-12-17,ati_all,167419
2023-12-17,contracts,1036970
2023-12-17,parliament_report,369
2023-12-17,reclassification,11085
2023-12-17,contractsa,397
2023-12-17,wrongdoing,47
2023-12-17,dac,2882
2023-12-17,hospitalityq_nil,3224
2023-12-17,grants,949375
2023-12-17,adminaircraft,20
2023-12-17,contracts_nil,74
2023-12-17,reclassification_nil,838
2023-12-17,travelq,92345
2023-12-17,parliament_committee,267
2023-12-17,transition,69
2023-12-17,travelq_nil,1964
2023-12-17,qpnotes,4751
2023-12-17,parliament_committee_deputy,230
2023-12-17,ati_nil,3033
2023-12-17,hospitalityq,22677
2023-12-16,qpnotes,4751
2023-12-16,travela,483
2023-12-16,hospitalityq_nil,3224
2023-12-16,adminaircraft,20
2023-12-16,wrongdoing,47
2023-12-16,parliament_committee_deputy,228
2023-12-16,ati_nil,3033
2023-12-16,travelq,92345
2023-12-16,reclassification_nil,838
2023-12-16,ati_all,167419
2023-12-16,travelq_nil,1964
2023-12-16,parliament_report,368
2023-12-16,transition,69
2023-12-16,contracts_nil,74
2023-12-16,grants_nil,167
2023-12-16,hospitalityq,22677
2023-12-16,parliament_committee,267
2023-12-16,briefingt,101194
2023-12-16,transition_deputy,46
2023-12-16,dac,2882
2023-12-16,grants,949375
2023-12-16,contractsa,397
2023-12-16,contracts,1036970
2023-12-16,reclassification,11085
2023-12-15,adminaircraft,20
2023-12-15,travelq_nil,1964
2023-12-15,ati_nil,3020
2023-12-15,reclassification_nil,838
2023-12-15,reclassification,11085
2023-12-15,contracts_nil,74
2023-12-15,grants_nil,167
2023-12-15,hospitalityq,22677
2023-12-15,travelq,92342
2023-12-15,contracts,1036970
2023-12-15,briefingt,101178
2023-12-15,wrongdoing,47
2023-12-15,grants,949374
2023-12-15,parliament_committee_deputy,228
2023-12-15,transition,69
2023-12-15,parliament_report,368
2023-12-15,contractsa,397
2023-12-15,ati_all,167407
2023-12-15,qpnotes,4751
2023-12-15,dac,2882
2023-12-15,parliament_committee,267
2023-12-15,transition_deputy,46
2023-12-15,travela,483
2023-12-15,hospitalityq_nil,3224
2023-12-14,adminaircraft,20
2023-12-14,travelq_nil,1963
2023-12-14,ati_nil,3012
2023-12-14,wrongdoing,47
2023-12-14,hospitalityq_nil,3222
2023-12-14,ati_all,167290
2023-12-14,transition,69
2023-12-14,travela,483
2023-12-14,contracts_nil,74
2023-12-14,hospitalityq,22677
2023-12-14,briefingt,101174
2023-12-14,contractsa,397
2023-12-14,parliament_report,368
2023-12-14,grants,949373
2023-12-14,transition_deputy,46
2023-12-14,contracts,1036970
2023-12-14,grants_nil,167
2023-12-14,travelq,92341
2023-12-14,parliament_committee,267
2023-12-14,qpnotes,4751
2023-12-14,reclassification,11085
2023-12-14,parliament_committee_deputy,227
2023-12-14,dac,2882
2023-12-14,reclassification_nil,838
2023-12-13,transition,69
2023-12-13,wrongdoing,47
2023-12-13,ati_all,167288
2023-12-13,parliament_committee_deputy,227
2023-12-13,grants,949373
2023-12-13,adminaircraft,20
2023-12-13,dac,2882
2023-12-13,transition_deputy,46
2023-12-13,parliament_report,355
2023-12-13,qpnotes,4751
2023-12-13,parliament_committee,267
2023-12-13,briefingt,101160
2023-12-13,travela,483
2023-12-13,travelq_nil,1963
2023-12-13,grants_nil,167
2023-12-13,travelq,92304
2023-12-13,hospitalityq,22676
2023-12-13,contracts,1036970
2023-12-13,contracts_nil,74
2023-12-13,contractsa,397
2023-12-13,reclassification,11085
2023-12-13,reclassification_nil,838
2023-12-13,ati_nil,3007
2023-12-13,hospitalityq_nil,3221
2023-12-12,travela,483
2023-12-12,hospitalityq_nil,3208
2023-12-12,transition_deputy,46
2023-12-12,contractsa,395
2023-12-12,dac,2882
2023-12-12,wrongdoing,47
2023-12-12,contracts,1036970
2023-12-12,reclassification,11085
2023-12-12,parliament_committee,267
2023-12-12,parliament_committee_deputy,227
2023-12-12,contracts_nil,74
2023-12-12,ati_nil,2901
2023-12-12,grants_nil,167
2023-12-12,reclassification_nil,838
2023-12-12,parliament_report,355
2023-12-12,briefingt,101134
2023-12-12,grants,949373
2023-12-12,travelq_nil,1962
2023-12-12,ati_all,167161
2023-12-12,adminaircraft,20
2023-12-12,travelq,92251
2023-12-12,transition,69
2023-12-12,qpnotes,4751
2023-12-12,hospitalityq,22668
2023-12-11,hospitalityq_nil,3208
2023-12-11,briefingt,101134
2023-12-11,travelq_nil,1962
2023-12-11,travelq,92251
2023-12-11,dac,2882
2023-12-11,hospitalityq,22668
2023-12-11,qpnotes,4751
2023-12-11,ati_all,167161
2023-12-11,wrongdoing,47
2023-12-11,parliament_committee,267
2023-12-11,grants_nil,167
2023-12-11,transition,69
2023-12-11,adminaircraft,20
2023-12-11,reclassification_nil,838
2023-12-11,grants,949373
2023-12-11,transition_deputy,46
2023-12-11,contractsa,395
2023-12-11,parliament_report,355
2023-12-11,contracts_nil,74
2023-12-11,reclassification,11085
2023-12-11,ati_nil,2901
2023-12-11,travela,483
2023-12-11,contracts,1036970
2023-12-11,parliament_committee_deputy,227
2023-12-10,dac,2882
2023-12-10,hospitalityq_nil,3208
2023-12-10,grants_nil,167
2023-12-10,ati_all,167161
2023-12-10,transition,69
2023-12-10,travelq_nil,1962
2023-12-10,briefingt,101134
2023-12-10,ati_nil,2901
2023-12-10,hospitalityq,22668
2023-12-10,parliament_committee_deputy,227
2023-12-10,transition_deputy,46
2023-12-10,contractsa,395
2023-12-10,contracts,1036970
2023-12-10,reclassification,11085
2023-12-10,contracts_nil,74
2023-12-10,parliament_committee,267
2023-12-10,parliament_report,355
2023-12-10,grants,949373
2023-12-10,travela,483
2023-12-10,adminaircraft,20
2023-12-10,wrongdoing,47
