owner_org,ati_all,ati_nil,briefingt,contracts,contracts_nil,contractsa,dac,grants,grants_nil,hospitalityq,hospitalityq_nil,qpnotes,reclassification,reclassification_nil,travela,travelq,travelq_nil,wrongdoing
glpa-apgl,5,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glwb-ogte,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
halpa-aphal,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hampa-apham,17,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hc-sc,13463,0,3304,11374,0,6,86,1475,0,174,28,509,489,0,6,1028,9,0
hsmbc-clmhc,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iaac-aeic,402,3,647,1150,0,1,0,3134,0,27,39,0,23,58,0,146,23,0
ic,7188,0,5819,9907,0,3,70,17873,1,474,4,128,259,4,7,4662,0,1
idrc-crdi,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iga-aig,0,0,122,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
iic-iac,3,14,0,295,0,0,0,0,0,27,13,0,0,0,0,126,7,0
ijc-cmi,0,0,0,210,0,0,0,0,0,31,0,0,0,0,0,241,3,0
infc,2063,1,3146,935,0,6,86,808,0,91,0,103,16,0,8,1167,0,1
innovation,23,44,0,0,0,0,0,0,0,44,36,0,0,0,0,187,26,0
irb-cisr,734,0,694,2812,0,4,0,0,0,22,42,0,100,6,4,120,24,0
isc-sac,1322,10,2811,5255,0,0,74,98285,0,38,0,229,17,12,0,804,1,0
jccbi-pjcci,106,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jfpc-cfp,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,40,5,0
jus,3839,0,3371,3169,0,6,67,3108,0,273,25,21,916,1,7,746,11,0
lac-bac,5483,0,220,1135,0,6,0,249,0,24,38,0,58,0,8,94,22,0
lpa-apl,9,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mai,55,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mdi-mid,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mgerc-ceegm,50,40,0,112,2,7,0,0,0,32,80,0,6,12,7,147,57,0
miga-maig,0,0,13,0,0,0,0,0,0,5,7,0,0,0,0,45,0,0
mint-monnaie,82,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mlvwb-otevm,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mpa-apm,49,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mpcc-cppm,118,26,118,198,0,5,0,0,0,0,137,0,5,30,8,17,66,0
mveirb-oervm,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nac-cna,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbc-ccbn,4,34,0,222,0,0,0,0,0,47,18,0,0,0,2,33,28,0
ncc-ccn,855,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ndcfo-odnfc,41,7,0,0,0,0,0,0,0,36,47,0,0,0,0,27,44,0
nfb-onf,162,24,0,1504,0,5,0,0,0,274,27,0,0,0,0,377,30,0
ngc-mbac,61,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nirb-cner,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nnpa-apn,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
npa-apn,14,43,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
nrc-cnrc,201,0,122,40718,0,4,66,60926,0,1200,31,0,0,0,0,2338,9,1
nrcan-rncan,5815,0,4043,26287,0,6,79,7523,0,769,23,94,193,0,11,2487,13,0
nserc-crsng,97,6,122,1118,10,2,24,110040,0,19,12,0,0,0,7,273,13,0
nsira-ossnr,18,16,0,123,0,4,0,0,0,43,32,0,0,0,5,106,18,0
oag-bvg,39,0,731,1671,0,6,53,0,0,154,9,0,0,0,3,193,1,0
oci-bec,102,25,39,59,2,1,0,0,0,11,8,0,2,9,0,100,2,0
ocl-cal,49,33,24,122,1,6,0,0,0,9,48,0,1,16,5,6,49,0
ocol-clo,172,0,296,403,0,6,0,0,0,41,36,0,12,20,7,75,34,0
ocsec-bccst,3,45,0,10,10,0,0,0,0,2,50,0,0,0,4,3,50,0
oic-ci,427,7,20,248,0,6,0,0,0,25,39,0,3,16,6,13,43,0
opc-cpvp,515,1,320,605,0,6,0,78,12,14,59,0,1,22,5,84,31,0
org231,0,10,0,0,6,0,0,0,4,0,14,0,0,5,0,2,13,0
osfi-bsif,299,2,980,2526,0,6,68,0,0,42,22,0,0,0,6,148,16,0
osgg-bsgg,0,0,0,428,0,6,0,0,0,4,51,0,1,3,0,116,28,0
oto-boc,0,0,0,18,0,0,0,0,0,14,53,0,0,0,9,96,38,0
ovo-bov,19,39,47,0,0,0,0,0,0,13,41,0,7,18,0,66,24,0
pacifican,131,6,368,59,1,0,0,1016,0,3,21,4,0,6,2,46,8,0
papa-appa,4,2,0,0,0,0,0,0,0,5,9,0,0,0,0,26,8,0
pb,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pbc-clcc,224,11,318,1031,0,6,0,0,0,28,9,0,87,17,9,299,0,0
pc,1602,0,1180,51844,0,6,15,1501,0,371,36,0,0,0,0,2380,13,0
pch,4027,0,2190,10671,0,6,55,107092,0,1042,31,476,79,10,7,3976,9,0
pco-bcp,6327,2,3735,2275,0,3,201,142,0,84,12,75,87,27,4,612,6,0
petf-fpet,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phac-aspc,1530,2,2246,7256,0,6,80,3458,7,98,27,7,125,2,3,461,14,0
pkcc-pcprc,0,0,122,0,0,0,0,0,0,1,15,0,0,0,0,33,7,0
pmo-cpm,0,0,0,0,0,0,0,0,0,63,5,0,0,0,0,1309,3,0
pmprb-cepmb,195,10,0,187,1,3,0,0,0,72,122,0,19,50,0,111,42,0
