owner_org,ati_all,ati_nil,briefingt,contracts,contracts_nil,contractsa,dac,grants,grants_nil,hospitalityq,hospitalityq_nil,parliament_committee,parliament_committee_deputy,parliament_report,qpnotes,qpnotes_nil,reclassification,reclassification_nil,transition,transition_deputy,travela,travelq,travelq_nil,wrongdoing
clcl-sicl,9,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmc-mcc,71,52,0,0,0,0,0,0,0,29,11,0,0,5,0,0,0,0,0,0,0,218,0,0
cmhc-schl,698,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,1056,0,0
cmhr-mcdp,32,36,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,118,0,0
cmip-mciq,10,74,0,0,0,0,0,0,0,108,1,0,0,5,0,0,0,0,0,0,3,136,1,0
cmn-mcn,23,39,0,0,0,0,0,0,0,40,14,0,0,0,0,0,0,0,0,0,2,126,8,0
cnlopb,138,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cnsc-ccsn,2041,0,1524,2310,0,9,91,1111,0,123,4,0,1,2,0,0,0,0,1,2,0,549,2,0
cnsopb,5,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpata-cabamc,0,38,0,0,0,0,0,0,0,28,20,0,0,0,0,0,0,0,0,0,0,72,17,0
cpc-cpp,102,32,26,321,0,1,0,0,0,64,72,0,2,21,0,6,28,29,0,1,0,77,67,0
cpc-scp,175,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cra-arc,6320,0,1979,43316,0,7,0,7188,23,1069,36,0,0,0,81,0,341,7,4,0,11,5318,7,1
crrf-fcrr,15,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crtc,512,2,327,1118,0,1,0,0,15,31,65,0,20,4,0,0,31,18,0,0,7,673,22,0
csa-asc,425,18,275,4249,0,8,97,1994,0,77,51,0,1,8,0,0,16,23,0,1,9,668,10,0
csc-scc,3687,0,1773,58959,0,9,111,338,4,97,60,1,17,24,0,0,148,5,2,3,8,1871,34,0
csec-cstc,665,12,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
csis-scrs,2461,0,876,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
csps-efpc,224,20,306,1092,0,9,0,0,0,102,62,0,0,0,0,0,46,24,0,0,0,214,26,0
cstm-mstc,38,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cta-otc,323,14,268,1259,0,10,0,0,0,26,80,0,6,0,0,0,9,33,0,1,8,161,44,0
ctc-cct,21,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cwa-aec,7,17,78,91,0,0,0,241,1,0,21,0,0,1,0,2,0,7,2,1,0,37,0,0
dcc-cdc,49,45,0,0,0,0,0,0,0,97,13,0,0,5,0,0,0,0,0,0,0,499,6,0
dfatd-maecd,12569,0,10075,79173,0,9,126,16215,0,36219,0,47,8,19,314,1,509,0,3,4,13,16103,0,22
dfi-ifd,1,33,0,0,0,0,0,0,0,63,13,0,0,0,0,0,0,0,0,0,2,94,8,0
dfo-mpo,5073,0,5741,117531,1,9,103,18580,0,308,49,26,10,4,780,0,413,3,6,2,16,2226,7,0
dnd-mdn,10837,0,4835,362845,0,9,128,1182,4,1896,74,25,2,7,127,0,1381,0,6,3,14,7185,104,13
downsview,0,27,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,140,0,0
ec,4265,0,4497,69222,0,9,133,8587,0,295,35,4,0,0,185,0,1262,0,1,0,15,2014,2,3
edc,134,16,0,0,0,0,0,0,0,772,0,0,0,2,0,0,0,0,0,0,3,786,0,0
elections,840,5,1551,3606,0,8,0,0,0,41,58,5,9,0,0,0,44,19,0,0,0,154,30,0
erc-cee,11,68,0,37,10,4,0,0,0,6,76,0,0,0,0,0,0,3,0,0,0,33,68,0
esdc-edsc,2661,0,8577,40131,0,9,112,352902,0,3390,0,70,16,14,845,1,1160,8,19,11,15,13733,0,3
exi,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fbcl-spfl,21,71,0,0,0,0,0,0,0,4,23,0,0,11,0,0,0,0,0,0,2,262,0,0
fcac-acfc,102,42,107,1593,0,9,0,0,0,202,52,0,8,20,0,0,0,0,0,1,11,645,35,0
fcc-fac,8,21,0,0,0,0,0,0,0,503,24,0,0,0,0,0,0,0,0,0,9,2368,15,0
feddevontario,268,18,798,1035,0,9,0,5093,0,154,59,0,1,2,11,0,24,45,6,1,10,2006,22,0
fednor,11,37,389,48,0,4,0,1481,0,9,41,0,2,18,12,0,1,3,1,1,4,89,9,0
ffmc-ocped,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fin,7085,2,5364,4418,0,9,94,209,1,761,26,0,0,0,28,0,7,14,2,0,10,7742,5,0
fintrac-canafe,267,13,180,1776,0,8,0,0,0,794,33,0,2,9,0,0,0,0,0,1,0,678,25,0
fja-cmf,0,0,0,868,2,9,0,0,0,78,37,0,0,0,0,0,11,26,0,0,8,99,35,0
fnfmb-cgfpn,5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fntc-cfpn,5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpcc-cpac,13,47,2,44,19,9,0,0,40,96,43,0,0,0,0,6,5,33,0,0,11,579,16,0
fraidg-ciafimd,2,77,0,0,0,0,0,0,0,5,60,0,0,3,0,0,0,0,0,0,0,39,33,0
glpa-apgl,5,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glwb-ogte,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
halpa-aphal,12,47,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,36,0,0
hampa-apham,20,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hc-sc,17381,0,5061,14647,0,9,123,2300,0,231,36,59,17,5,635,0,522,2,7,3,8,1779,9,0
hgr-tgf,30,12,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,672,0,0
hsmbc-clmhc,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iaac-aeic,524,4,984,1428,0,4,0,4465,0,40,60,8,11,29,0,0,26,66,4,1,0,276,26,0
ic,9323,0,10662,22915,0,3,98,41783,1,554,8,0,0,8,236,0,297,4,0,1,9,6392,0,1
idrc-crdi,34,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iic-iac,28,35,0,490,0,0,0,0,0,72,13,0,0,11,0,0,0,0,0,0,0,271,7,0
ijc-cmi,0,0,0,303,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,333,3,0
infc,2470,1,4825,1303,0,8,127,2261,0,145,0,0,0,2,146,0,20,0,6,1,10,1856,0,1
innovation,30,70,0,0,0,0,0,0,0,119,44,0,0,0,0,0,0,0,0,0,0,476,27,0
irb-cisr,980,0,1104,5612,0,7,0,0,0,27,72,0,0,0,0,0,151,6,0,0,7,256,26,0
isc-sac,1970,0,4699,8025,0,0,111,156896,1,105,0,6,0,10,353,0,70,16,0,0,0,1446,1,0
jccbi-pjcci,109,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jfpc-cfp,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,40,5,0
jus,4400,0,4854,4537,0,9,97,5122,1,366,27,60,3,2,21,5,929,1,7,1,9,1189,12,1
lac-bac,9188,0,331,2543,0,9,0,405,0,33,61,0,1,9,0,0,204,0,0,1,10,161,28,0
mai,64,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
mgerc-ceegm,67,61,0,281,2,10,0,0,0,32,111,0,1,0,0,0,7,19,0,1,9,148,88,0
mint-monnaie,95,47,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,121,0,0
mlvwb-otevm,2,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mpa-apm,76,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mpcc-cppm,140,47,142,254,0,8,0,0,0,0,169,0,0,0,0,0,7,39,0,0,10,20,94,0
mveirb-oervm,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nac-cna,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbc-ccbn,7,63,0,554,0,1,0,0,0,108,18,0,0,1,0,0,0,0,0,0,5,48,28,0
ncc-ccn,1061,1,0,0,0,0,0,0,0,949,0,0,0,2,0,0,0,0,0,0,0,535,1,0
ndcfo-odnfc,41,37,0,0,0,0,0,0,0,48,67,0,0,0,0,0,0,0,0,0,0,38,59,0
nfb-onf,183,43,0,2344,0,9,0,0,0,412,34,0,0,1,0,0,0,0,0,0,0,495,37,0
ngc-mbac,75,54,0,589,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,214,0,0
nirb-cner,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nnpa-apn,5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
npa-apn,20,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
nrc-cnrc,313,0,144,50044,0,7,101,79709,0,1325,36,0,2,9,0,0,0,0,0,3,0,2724,9,1
nrcan-rncan,7625,0,6478,32057,0,9,125,11787,0,837,23,20,3,1,94,3,279,0,3,5,13,3117,13,0
nserc-crsng,146,16,164,1445,10,5,46,156594,0,19,12,0,0,2,0,0,0,0,0,1,9,384,13,0
nsira-ossnr,138,25,39,153,0,7,0,0,0,43,62,0,0,0,0,0,0,0,0,0,7,114,41,0
oag-bvg,86,10,1194,2200,0,9,83,0,0,213,23,0,149,90,0,0,0,0,0,1,5,296,3,0
occe-bcef,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0
oci-bec,117,47,55,99,3,4,0,0,0,25,34,0,0,1,0,0,3,20,0,0,4,145,10,0
ocl-cal,81,49,26,176,1,9,0,0,0,26,65,0,13,11,0,0,4,25,0,0,8,14,72,0
ocol-clo,205,14,430,565,0,9,0,0,0,66,51,14,4,2,0,0,76,27,0,0,9,112,48,0
ocsec-bccst,9,71,0,14,16,0,0,0,0,3,81,0,4,0,0,0,0,0,0,1,6,14,73,0
oic-ci,492,15,65,322,0,9,52,0,0,38,59,0,0,0,0,0,3,26,0,0,8,23,68,0
opc-cpvp,654,1,489,815,0,9,0,101,19,30,77,0,38,0,0,0,2,33,0,1,7,143,40,0
opmc-svpm,8,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org231,0,46,18,18,8,0,0,0,4,3,43,0,0,0,0,4,0,16,0,0,2,30,24,0
osfi-bsif,343,11,1209,3253,0,9,119,0,0,123,29,0,11,15,0,0,0,0,0,1,8,429,16,0
osgg-bsgg,0,0,0,592,0,9,0,0,0,8,79,0,0,0,0,0,11,3,0,0,0,160,37,0
oto-boc,0,0,0,18,0,0,0,0,0,14,85,0,0,0,0,0,0,0,0,0,11,125,52,0
ovo-bov,23,65,75,0,0,0,0,0,0,24,62,0,0,0,0,0,7,29,0,0,0,141,28,0
pacifican,187,22,842,168,1,5,0,1492,0,7,48,0,3,0,4,0,0,17,1,0,4,180,9,0
papa-appa,5,29,0,0,0,0,0,0,0,6,20,0,0,0,0,0,0,0,0,0,0,71,27,0
pb,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pbc-clcc,251,28,553,1204,1,8,0,0,0,33,33,1,2,2,0,0,88,26,2,0,10,407,1,0
pc,2014,0,2030,61027,0,9,15,3093,0,392,54,2,4,1,0,0,0,0,0,0,8,2767,13,0
pch,4941,0,3417,11983,0,9,89,138904,0,1047,49,40,4,1,752,0,106,16,5,4,9,4808,9,0
pco-bcp,8161,2,7013,3024,0,5,234,157,2,512,3,0,0,1,109,0,106,35,0,0,6,5802,0,0
pdp,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petf-fpet,39,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phac-aspc,2068,2,3284,10033,0,9,116,5601,7,154,35,6,18,3,7,0,139,7,0,2,5,804,14,0
pkcc-pcprc,0,0,122,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,33,7,0
pmprb-cepmb,215,30,110,254,1,9,0,0,0,88,128,0,0,13,0,0,19,50,0,1,0,161,49,0
polar-polaire,5,57,91,249,1,2,0,505,1,26,16,0,0,0,0,0,0,0,2,1,0,153,3,0
ppa-app,21,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ppsc-sppc,415,7,1684,2193,0,9,65,0,0,12,83,0,0,5,0,0,482,13,1,1,15,188,32,0
pptc,69,0,0,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prairiescan,174,15,1309,419,0,5,0,3445,0,28,34,0,5,3,30,0,3,16,2,0,5,423,4,0
prpa-appr,14,45,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,175,0,0
ps-sp,4506,0,6324,2774,0,8,93,3566,10,228,36,0,0,0,360,0,24,14,0,0,0,1435,17,0
psc-cfp,501,16,284,2698,0,6,78,0,0,1188,6,0,2,0,0,0,199,17,2,0,3,820,6,0
pshcp-rssfp,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
psi,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
psic-ispc,23,35,0,193,0,1,0,0,0,8,108,0,0,0,0,0,0,0,0,0,0,22,81,0
pslrb-crtfp,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pspib-oirpsp,115,51,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,726,0,0
ptr,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
pwgsc-tpsgc,7801,0,1780,73475,0,9,113,0,25,155,30,10,2,6,476,0,99,7,7,1,7,1127,7,15
qpa-apq,41,26,0,0,0,0,0,0,0,534,5,0,0,0,0,0,0,0,0,0,0,226,11,0
rcmp-grc,8041,1,1516,36939,0,9,106,402,1,969,9,0,26,5,0,0,996,34,0,0,9,2017,3,0
ri,8,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scc-ccn,25,47,0,0,0,0,0,0,0,29,0,0,0,10,0,0,0,0,0,0,4,201,0,0
scc-csc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,14,0,0,0,0,0,0
sdtc-tddc,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sibc-cpivml,11,73,0,0,0,0,0,0,0,1,26,0,0,9,0,0,0,0,0,0,2,4,24,0
sirc-csars,69,0,0,59,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,44,0,0
sjpa-apsj,6,72,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
slp-psl,15,71,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,45,0,0
slupb-cats,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slwb-otes,1,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snsicp-scpssnr,11,32,45,11,0,7,0,0,20,269,37,0,0,7,0,16,0,4,0,0,7,156,44,0
sopf-cidp,6,75,0,0,0,0,0,0,0,26,55,0,0,3,0,0,0,0,0,0,0,408,37,0
spa-aps,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssc-spc,1602,0,941,29160,0,9,123,0,0,307,64,2,9,3,12,0,59,17,8,0,13,445,27,0
sshrc-crsh,230,19,165,979,9,5,39,69164,0,23,18,0,1,0,0,0,0,0,0,0,9,509,9,0
statcan,592,2,714,3415,0,9,103,4,18,104,15,0,1,1,0,0,59,14,0,0,10,408,3,0
stjpa-apstj,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swc-cfc,174,0,0,197,0,1,0,143,2,55,9,0,0,0,0,0,7,3,0,0,0,246,12,0
tbpa-aptb,4,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tbs-sct,4233,0,2026,7999,0,9,128,68,16,396,24,46,16,6,138,0,70,12,5,8,8,1009,9,0
tc,8408,0,3505,23253,0,9,89,48204,0,332,25,0,0,1,77,0,519,5,1,0,15,3569,5,0
tf,9,18,0,0,0,0,0,0,0,426,0,0,0,7,0,0,0,0,0,0,0,418,0,0
tmc,38,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tmp,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpa-apt,27,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tsb-bst,232,9,0,547,0,0,0,0,0,37,78,0,5,8,0,0,18,25,3,1,12,204,34,0
vac-acc,1363,1,611,5091,0,9,86,2320,0,432,65,0,0,0,334,0,481,17,0,0,5,3185,13,2
vfpa-apvf,247,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
viarail,439,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,221,0,0
vrab-tacra,50,55,2,172,8,4,0,0,0,56,50,0,0,3,1,0,17,33,1,0,0,385,23,0
wage,216,15,1246,819,0,8,0,2960,3,14,55,9,5,0,170,1,13,15,2,1,7,648,15,0
wd-deo,215,1,451,250,0,4,0,14556,0,73,19,0,0,2,0,0,23,10,1,0,10,1387,10,0
wdba-apwd,30,42,0,0,0,0,0,0,0,72,3,0,0,0,0,0,0,0,0,0,0,118,0,0
yesab-oeesy,12,69,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,14,0
