Organization Name - EN,Organization Name - FR,owner_org,Number of Informal Requests,Unique Identifier
National Security and Intelligence Review Agency,Office de surveillance des activités en matière de sécurité nationale et de renseignement,nsira-ossnr,70,27
Montreal Port Authority,Administration portuaire de Montréal,mpa-apm,69,14
Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada,osfi-bsif,66,38
The Correctional Investigator Canada,L'Enquêteur correctionnel Canada,oci-bec,62,29
Prairies Economic Development Canada,Développement économique Canada pour les Prairies,prairiescan,61,47
Export Development Canada,Exportation et développement Canada,edc,60,21
Western Economic Diversification Canada,Diversification de l'économie de l'Ouest Canada,wd-deo,58,55
National Gallery of Canada,Musée des beaux-arts du Canada,ngc-mbac,57,23
Accessibility Standards Canada,Normes d’accessibilité Canada,casdo-ocena,53,19
Canadian Museum of History,Musée canadien de l'histoire,cmc-mcc,50,17
Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord,cannor,49,25
Canada-Newfoundland and Labrador Offshore Petroleum Board,Office Canada–Terre-Neuve-et Labrador des hydrocarbures extracôtiers,cnlopb,49,24
Canadian Forces Morale and Welfare Services,Services de bien-être et moral des Forces canadiennes,cfmws-sbmfc,44,27
National Film Board,Office national du film,nfb-onf,42,26
Canadian Air Transport Security Authority,Administration canadienne de la sûreté du transport aérien,catsa-acsta,41,18
Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada,mpcc-cppm,36,21
Defence Construction Canada,Construction de Défense Canada,dcc-cdc,34,18
Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel),vrab-tacra,31,13
Prince Rupert Port Authority,L’Administration portuaire de Prince Rupert,prpa-appr,26,6
Marine Atlantic Inc.,Marine Atlantique S.C.C.,mai,26,20
Quebec Port Authority,Administration portuaire de Québec,qpa-apq,25,19
Canada Deposit Insurance Corporation,Société d'assurance-dépôts du Canada,cdic-sadc,21,12
Standards Council of Canada,Conseil canadien des normes,scc-ccn,21,11
Telefilm Canada,Téléfilm Canada,tf,20,13
Canadian Commercial Corporation,Corporation commerciale canadienne,ccc,20,9
Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail,ccohs-cchst,19,7
Office of the Auditor General of Canada,Bureau du vérificateur général du Canada,oag-bvg,19,16
Pacific Pilotage Authority Canada,Administration de pilotage du Pacifique Canada,ppa-app,19,11
Canadian Museum for Human Rights,Musée canadien pour les droits de la personne,cmhr-mcdp,18,7
Office of the Commissioner of Lobbying of Canada,Commissariat au lobbying du Canada,ocl-cal,17,5
Invest in Canada,Investir Au Canada,iic-iac,16,9
International Development Research Centre,Centre de recherches pour le développement international,idrc-crdi,16,6
Farm Credit Canada,Financement agricole Canada,fcc-fac,15,4
Canada Enterprise Emergency Funding Corporation,La Corporation de financement d’urgence d’entreprises du Canada,ceefc-cfuec,15,9
Military Grievances External Review Committee,Comité externe d’examen des griefs militaires,mgerc-ceegm,15,10
Canadian Grain Commission,Commission canadienne des grains,cgc-ccg,14,8
College of Immigration and Citizenship Consultants,Collège des Consultants en Immigration et en Citoyenneté,cicc-ccic,13,4
Atlantic Pilotage Authority Canada,Administration de pilotage de l'Atlantique Canada,apa,11,5
Canada-Nova Scotia Offshore Energy Regulator ,Régie Canada-Nouvelle-Écosse de l’énergie extracôtière ,cnsopb,11,4
Windsor-Detroit Bridge Authority,Autorité du pont Windsor-Détroit,wdba-apwd,10,6
Old Port of Montreal Corporation Inc.,Société du Vieux-Port de Montréal Inc.,opmc-svpm,10,7
Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l’Ontario,fednor,9,3
Canadian Museum of Immigration at Pier 21,Musée canadien de l'immigration du Quai 21,cmip-mciq,9,5
Canada Lands Company CLC Limited,Société immobilière du Canada CLC limitée,clccl-siccl,9,8
Federal Bridge Corporation,Société des ponts fédéraux,fbcl-spfl,9,7
Sustainable Development Technology Canada,Technologies du développement durable Canada,sdtc-tddc,9,5
Destination Canada,Destination Canada,ctc-cct,8,4
Revera Inc.,Revera Inc.,ri,8,2
Office of the Veterans Ombudsman,Bureau de l'ombudsman des vétérans,ovo-bov,8,6
Halifax Port Authority,Administration portuaire de Halifax,halpa-aphal,7,4
Canada Foundation for Innovation,Fondation canadienne pour l’innovation,innovation,7,4
Federal Public Service Health Care Plan Administration Authority,Administration du Régime de soins de santé de la fonction publique fédérale,pshcp-rssfp,7,4
Port of Sept-Iles,Port de Sept-Îles,psi,7,3
Canadian Dairy Commission,Commission canadienne du lait,cdc-ccl,6,5
Canadian Race Relations Foundation,La Fondation Canadienne des relations raciales,crrf-fcrr,6,4
Office of the Administrator of the Ship-source Oil Pollution Fund; (operating under the name) Ship and Rail Compensation Canada,Bureau de l’administrateur de la Caisse d’indemnisation des dommages dus à la pollution par les hydrocarbures causée par les navires; (qui mène ses activités sous le nom de) Indemnisation Navire et Rail Canada,sopf-cidp,6,3
Jacques Cartier and Champlain Bridges Incorporated,Ponts Jacques Cartier et Champlain Incorporée,jccbi-pjcci,6,5
Belledune Port Authority,Administration portuaire de Belledune,bpa-apd,5,2
The National Battlefields Commission,Commission des champs de bataille nationaux,nbc-ccbn,5,4
Canada Science and Technology Museum,Musée des sciences et de la technologie du Canada,cstm-mstc,5,4
Yukon Environmental and Socio-economic Assessment Board,Office d’évaluation environnementale et socio-économique du Yukon,yesab-oeesy,5,2
The Seaway International Bridge Corporation,"Corporation du pont international de la voie maritime, Ltée",sibc-cpivml,5,3
